metric,value
efectividad.score,0.0
efectividad.hit_ratio,0.0
efectividad.success_rate,0.0
efectividad.learning_curve_mean,0.0
efectividad.progression,0
efectividad.success_after_restart,0.0
eficiencia.score,0.8639793103448277
eficiencia.avg_reaction_time_ms,0.0
eficiencia.avg_task_duration_ms,13182.0
eficiencia.time_per_success_s,0.0
eficiencia.navigation_errors,1
satisfaccion.score,0.2
satisfaccion.learning_stability,0.0
satisfaccion.error_reduction_rate,0.0
satisfaccion.voluntary_play_time_s,0.0
satisfaccion.aid_usage,0
satisfaccion.interface_errors,0
presencia.score,0.8868901960784313
presencia.activity_level_per_min,831.0975229300556
presencia.first_success_time_s,0.0
presencia.inactivity_time_s,6.343
presencia.audio_performance_gain,0.0
global_score,0.4877173766058147
